	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
GridWords_SVM-rbf-model-binary-n-2	0.933832335329	0.927552249928	0.933832335329	0.927457954584	0.95	0.98	0.77	0.50	0.61
GridWords_SVM-rbf-model-binary-rmstopwords-n-1-2	0.945508982036	0.94212529132	0.945508982036	0.942876751451	0.96	0.98	0.79	0.64	0.70
GridWords_SVM-rbf-model-binary-rmstopwords-n-1	0.946407185629	0.943526829527	0.946407185629	0.944376727618	0.96	0.98	0.78	0.66	0.71
GridWords_SVM-rbf-model-binary-rmstopwords-n-2	0.91377245509	0.89967560722	0.91377245509	0.900161833077	0.93	0.98	0.66	0.32	0.43
GridWords_SVM-rbf-model-frequency-n-1-2	0.946706586826	0.943138648995	0.946706586826	0.942843226113	0.96	0.99	0.83	0.60	0.70
GridWords_SVM-rbf-model-frequency-n-1	0.945808383234	0.94221670949	0.945808383234	0.942691711357	0.96	0.98	0.80	0.62	0.70
GridWords_SVM-rbf-model-frequency-n-2	0.938023952096	0.932841948343	0.938023952096	0.931803488657	0.95	0.99	0.81	0.51	0.63
GridWords_SVM-rbf-model-frequency-rmstopwords-n-1-2	0.940419161677	0.935694761518	0.940419161677	0.935826560435	0.95	0.98	0.79	0.56	0.66
GridWords_SVM-rbf-model-frequency-rmstopwords-n-1	0.933233532934	0.929009906547	0.933233532934	0.930493364431	0.95	0.97	0.71	0.59	0.64
GridWords_SVM-rbf-model-frequency-rmstopwords-n-2	0.916167664671	0.903292474612	0.916167664671	0.901201059685	0.93	0.98	0.70	0.31	0.43
GridWords_SVM-rbf-model-tfidf-n-1-2	0.945508982036	0.94292713185	0.945508982036	0.943822418472	0.96	0.98	0.77	0.67	0.71
GridWords_SVM-rbf-model-tfidf-n-1	0.944011976048	0.940375949144	0.944011976048	0.941168893834	0.96	0.98	0.78	0.62	0.69
GridWords_SVM-rbf-model-tfidf-n-2	0.935329341317	0.929709776026	0.935329341317	0.930523162498	0.95	0.98	0.75	0.54	0.63
GridWords_SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.933233532934	0.93030759406	0.933233532934	0.931517170827	0.96	0.97	0.69	0.62	0.65
GridWords_SVM-rbf-model-tfidf-rmstopwords-n-1	0.941616766467	0.937576438913	0.941616766467	0.938456973238	0.96	0.98	0.77	0.61	0.68
GridWords_SVM-rbf-model-tfidf-rmstopwords-n-2	0.918263473054	0.906452574438	0.918263473054	0.904636270867	0.93	0.98	0.71	0.33	0.45
